Collection_code,N_samples,id
other,218,MA_Boston_C13_C_3707
ebird,9539,MA_Boston_C14_C_3708
iNaturalist,340,MA_Boston_C14_C_3708
other,115,MA_Boston_C14_C_3708
ebird,7911,MA_Boston_C15_C_3709
iNaturalist,29,MA_Boston_C15_C_3709
other,1289,MA_Boston_C15_C_3709
ebird,2352,MA_Boston_C16_C_3710
iNaturalist,10,MA_Boston_C16_C_3710
other,13,MA_Boston_C16_C_3710
ebird,1031,MA_Boston_C17_C_3711
iNaturalist,27,MA_Boston_C17_C_3711
other,5,MA_Boston_C17_C_3711
ebird,2048,MA_Boston_C18_C_3712
other,6,MA_Boston_C18_C_3712
iNaturalist,0,MA_Boston_C18_C_3712
ebird,70,MA_Boston_C2_C_3713
other,17,MA_Boston_C2_C_3713
iNaturalist,0,MA_Boston_C2_C_3713
ebird,86166,MA_Boston_C3_C_3714
iNaturalist,227,MA_Boston_C3_C_3714
other,2576,MA_Boston_C3_C_3714
ebird,47,MA_Boston_C4_C_3715
iNaturalist,2,MA_Boston_C4_C_3715
other,0,MA_Boston_C4_C_3715
ebird,363,MA_Boston_C5_C_3716
iNaturalist,10,MA_Boston_C5_C_3716
other,4,MA_Boston_C5_C_3716
ebird,73159,MA_Boston_C6_C_3717
iNaturalist,450,MA_Boston_C6_C_3717
other,4022,MA_Boston_C6_C_3717
ebird,299,MA_Boston_C7_C_3718
iNaturalist,4,MA_Boston_C7_C_3718
other,0,MA_Boston_C7_C_3718
ebird,6706,MA_Boston_C8_C_3719
iNaturalist,36,MA_Boston_C8_C_3719
other,40,MA_Boston_C8_C_3719
ebird,4594,MA_Boston_C9_C_3720
iNaturalist,35,MA_Boston_C9_C_3720
other,11,MA_Boston_C9_C_3720
ebird,245,MA_Boston_D1_D_3721
iNaturalist,12,MA_Boston_D1_D_3721
other,1,MA_Boston_D1_D_3721
ebird,1228,MA_Boston_D10_D_3722
iNaturalist,5,MA_Boston_D10_D_3722
other,12,MA_Boston_D10_D_3722
ebird,486,MA_Boston_D11_D_3723
iNaturalist,12,MA_Boston_D11_D_3723
other,2,MA_Boston_D11_D_3723
ebird,926,MA_Boston_D12_D_3724
iNaturalist,9,MA_Boston_D12_D_3724
other,0,MA_Boston_D12_D_3724
ebird,1005,MA_Boston_D2_D_3725
iNaturalist,14,MA_Boston_D2_D_3725
other,604,MA_Boston_D2_D_3725
ebird,230,MA_Boston_D3_D_3726
iNaturalist,3,MA_Boston_D3_D_3726
other,2,MA_Boston_D3_D_3726
ebird,109,MA_Boston_D4_D_3727
iNaturalist,11,MA_Boston_D4_D_3727
other,1,MA_Boston_D4_D_3727
ebird,526,MA_Boston_D5_D_3728
iNaturalist,17,MA_Boston_D5_D_3728
other,16,MA_Boston_D5_D_3728
ebird,1622,MA_Boston_D6_D_3729
iNaturalist,4,MA_Boston_D6_D_3729
other,8,MA_Boston_D6_D_3729
ebird,967,MA_Boston_D7_D_3730
iNaturalist,55,MA_Boston_D7_D_3730
other,35,MA_Boston_D7_D_3730
ebird,26639,MA_Boston_D8_D_3731
iNaturalist,41,MA_Boston_D8_D_3731
other,199,MA_Boston_D8_D_3731
ebird,407,MA_Boston_D9_D_3732
iNaturalist,18,MA_Boston_D9_D_3732
other,10,MA_Boston_D9_D_3732
ebird,13,MA_Braintree_A1_A_3733
iNaturalist,2,MA_Braintree_A1_A_3733
other,0,MA_Braintree_A1_A_3733
ebird,853,MA_Braintree_B1_B_3734
iNaturalist,3,MA_Braintree_B1_B_3734
other,5,MA_Braintree_B1_B_3734
ebird,2,MA_Braintree_B2_B_3735
other,146,MA_Braintree_B2_B_3735
iNaturalist,0,MA_Braintree_B2_B_3735
ebird,63,MA_Braintree_B3_B_3736
iNaturalist,1,MA_Braintree_B3_B_3736
other,0,MA_Braintree_B3_B_3736
ebird,3,MA_Braintree_B4_B_3737
other,0,MA_Braintree_B4_B_3737
iNaturalist,0,MA_Braintree_B4_B_3737
ebird,33,MA_Braintree_C1_C_3739
other,0,MA_Braintree_C1_C_3739
iNaturalist,0,MA_Braintree_C1_C_3739
ebird,471,MA_Braintree_C2_C_3740
other,83,MA_Braintree_C2_C_3740
iNaturalist,0,MA_Braintree_C2_C_3740
ebird,3,MA_Brockton_A1_A_3742
iNaturalist,1,MA_Brockton_A1_A_3742
other,0,MA_Brockton_A1_A_3742
other,0,MA_Brockton_A2_A_3743
iNaturalist,0,MA_Brockton_A2_A_3743
ebird,0,MA_Brockton_A2_A_3743
ebird,9,MA_Brockton_B1_B_3744
other,1,MA_Brockton_B1_B_3744
iNaturalist,0,MA_Brockton_B1_B_3744
ebird,6,MA_Brockton_B2_B_3745
other,0,MA_Brockton_B2_B_3745
iNaturalist,0,MA_Brockton_B2_B_3745
ebird,109,MA_Brockton_B3_B_3746
iNaturalist,1,MA_Brockton_B3_B_3746
other,1,MA_Brockton_B3_B_3746
ebird,54,MA_Brockton_C1_C_3747
iNaturalist,2,MA_Brockton_C1_C_3747
other,0,MA_Brockton_C1_C_3747
ebird,3,MA_Brockton_C10_C_3748
other,1,MA_Brockton_C10_C_3748
iNaturalist,0,MA_Brockton_C10_C_3748
other,0,MA_Brockton_C2_C_3749
iNaturalist,0,MA_Brockton_C2_C_3749
ebird,0,MA_Brockton_C2_C_3749
ebird,5,MA_Brockton_C3_C_3750
iNaturalist,1,MA_Brockton_C3_C_3750
other,0,MA_Brockton_C3_C_3750
other,0,MA_Brockton_C4_C_3751
iNaturalist,0,MA_Brockton_C4_C_3751
ebird,0,MA_Brockton_C4_C_3751
ebird,294,MA_Brockton_C5_C_3752
iNaturalist,1,MA_Brockton_C5_C_3752
other,0,MA_Brockton_C5_C_3752
ebird,8,MA_Brockton_C6_C_3753
iNaturalist,8,MA_Brockton_C6_C_3753
other,3,MA_Brockton_C6_C_3753
ebird,302,MA_Brockton_C7_C_3754
iNaturalist,2,MA_Brockton_C7_C_3754
other,57,MA_Brockton_C7_C_3754
ebird,20,MA_Brockton_C8_C_3755
other,0,MA_Brockton_C8_C_3755
iNaturalist,0,MA_Brockton_C8_C_3755
other,0,MA_Brockton_C9_C_3756
iNaturalist,0,MA_Brockton_C9_C_3756
ebird,0,MA_Brockton_C9_C_3756
ebird,7,MA_Brockton_D1_D_3757
other,5,MA_Brockton_D1_D_3757
iNaturalist,0,MA_Brockton_D1_D_3757
ebird,553,MA_Brookline_A1_A_3758
iNaturalist,5,MA_Brookline_A1_A_3758
other,4,MA_Brookline_A1_A_3758
ebird,3698,MA_Brookline_A2_A_3759
iNaturalist,23,MA_Brookline_A2_A_3759
other,43,MA_Brookline_A2_A_3759
ebird,1266,MA_Brookline_B1_B_3760
iNaturalist,10,MA_Brookline_B1_B_3760
other,23,MA_Brookline_B1_B_3760
ebird,9,MA_Brookline_B2_B_3761
iNaturalist,5,MA_Brookline_B2_B_3761
other,0,MA_Brookline_B2_B_3761
ebird,985,MA_Brookline_B3_B_3762
iNaturalist,4,MA_Brookline_B3_B_3762
other,7,MA_Brookline_B3_B_3762
ebird,22903,MA_Brookline_B3_B_3763
iNaturalist,39,MA_Brookline_B3_B_3763
other,127,MA_Brookline_B3_B_3763
ebird,402,MA_Brookline_B4_B_3764
iNaturalist,11,MA_Brookline_B4_B_3764
other,0,MA_Brookline_B4_B_3764
ebird,23531,MA_Brookline_B5_B_3765
iNaturalist,11,MA_Brookline_B5_B_3765
other,1,MA_Brookline_B5_B_3765
ebird,2,MA_Brookline_C1_C_3767
other,0,MA_Brookline_C1_C_3767
iNaturalist,0,MA_Brookline_C1_C_3767
other,0,MA_Brookline_C1_C_3768
iNaturalist,0,MA_Brookline_C1_C_3768
ebird,0,MA_Brookline_C1_C_3768
ebird,8080,MA_Brookline_C2_C_3769
iNaturalist,127,MA_Brookline_C2_C_3769
other,121,MA_Brookline_C2_C_3769
ebird,222,MA_Brookline_C3_C_3770
iNaturalist,2,MA_Brookline_C3_C_3770
other,0,MA_Brookline_C3_C_3770
ebird,45,MA_Brookline_C4_C_3771
iNaturalist,7,MA_Brookline_C4_C_3771
other,0,MA_Brookline_C4_C_3771
ebird,22,MA_Brookline_D1_D_3772
iNaturalist,7,MA_Brookline_D1_D_3772
other,1,MA_Brookline_D1_D_3772
ebird,77,MA_Cambridge_A1_A_3773
iNaturalist,3,MA_Cambridge_A1_A_3773
other,0,MA_Cambridge_A1_A_3773
ebird,2267,MA_Cambridge_B1_B_3774
iNaturalist,37,MA_Cambridge_B1_B_3774
other,263,MA_Cambridge_B1_B_3774
ebird,2246,MA_Cambridge_B2_B_3775
iNaturalist,6,MA_Cambridge_B2_B_3775
other,22,MA_Cambridge_B2_B_3775
ebird,186,MA_Cambridge_B3_B_3776
iNaturalist,20,MA_Cambridge_B3_B_3776
other,1,MA_Cambridge_B3_B_3776
ebird,1694,MA_Cambridge_B4_B_3777
iNaturalist,66,MA_Cambridge_B4_B_3777
other,34,MA_Cambridge_B4_B_3777
ebird,23,MA_Cambridge_B5_B_3778
iNaturalist,1,MA_Cambridge_B5_B_3778
other,0,MA_Cambridge_B5_B_3778
ebird,627,MA_Cambridge_B6_B_3779
iNaturalist,2,MA_Cambridge_B6_B_3779
other,0,MA_Cambridge_B6_B_3779
ebird,173,MA_Cambridge_B7_B_3780
iNaturalist,22,MA_Cambridge_B7_B_3780
other,8,MA_Cambridge_B7_B_3780
ebird,1342,MA_Cambridge_C1_C_3781
iNaturalist,465,MA_Cambridge_C1_C_3781
other,5,MA_Cambridge_C1_C_3781
ebird,6587,MA_Cambridge_C2_C_3782
iNaturalist,147,MA_Cambridge_C2_C_3782
other,158,MA_Cambridge_C2_C_3782
ebird,1774,MA_Cambridge_C3_C_3783
iNaturalist,25,MA_Cambridge_C3_C_3783
other,4,MA_Cambridge_C3_C_3783
ebird,5431,MA_Cambridge_C4_C_3784
iNaturalist,56,MA_Cambridge_C4_C_3784
other,284,MA_Cambridge_C4_C_3784
ebird,83,MA_Cambridge_C5_C_3785
iNaturalist,6,MA_Cambridge_C5_C_3785
other,2,MA_Cambridge_C5_C_3785
ebird,86,MA_Cambridge_C6_C_3786
iNaturalist,2,MA_Cambridge_C6_C_3786
other,5,MA_Cambridge_C6_C_3786
ebird,1057,MA_Cambridge_D1_D_3787
iNaturalist,28,MA_Cambridge_D1_D_3787
other,14,MA_Cambridge_D1_D_3787
ebird,1224,MA_Cambridge_D1_D_3788
iNaturalist,180,MA_Cambridge_D1_D_3788
other,25,MA_Cambridge_D1_D_3788
ebird,5804,MA_Cambridge_D2_D_3789
iNaturalist,26,MA_Cambridge_D2_D_3789
other,17,MA_Cambridge_D2_D_3789
ebird,42,MA_Chelsea_C1_C_3790
other,0,MA_Chelsea_C1_C_3790
iNaturalist,0,MA_Chelsea_C1_C_3790
ebird,6,MA_Chelsea_C2_C_3791
iNaturalist,1,MA_Chelsea_C2_C_3791
other,0,MA_Chelsea_C2_C_3791
ebird,459,MA_Chelsea_C3_C_3792
iNaturalist,2,MA_Chelsea_C3_C_3792
other,80,MA_Chelsea_C3_C_3792
ebird,174,MA_Chelsea_C4_C_3793
other,4,MA_Chelsea_C4_C_3793
iNaturalist,0,MA_Chelsea_C4_C_3793
ebird,5,MA_Chelsea_D1_D_3794
iNaturalist,18,MA_Chelsea_D1_D_3794
other,0,MA_Chelsea_D1_D_3794
ebird,37,MA_Dedham_B1_B_3795
iNaturalist,13,MA_Dedham_B1_B_3795
other,6,MA_Dedham_B1_B_3795
ebird,70,MA_Dedham_B2_B_3796
iNaturalist,6,MA_Dedham_B2_B_3796
other,0,MA_Dedham_B2_B_3796
ebird,1262,MA_Dedham_B3_B_3797
iNaturalist,4,MA_Dedham_B3_B_3797
other,3,MA_Dedham_B3_B_3797
ebird,47,MA_Dedham_C1_C_3798
iNaturalist,1,MA_Dedham_C1_C_3798
other,6,MA_Dedham_C1_C_3798
ebird,150,MA_Dedham_C2_C_3799
other,0,MA_Dedham_C2_C_3799
iNaturalist,0,MA_Dedham_C2_C_3799
ebird,87,MA_Dedham_C3_C_3800
iNaturalist,4,MA_Dedham_C3_C_3800
other,0,MA_Dedham_C3_C_3800
ebird,34,MA_Dedham_C4_C_3801
other,0,MA_Dedham_C4_C_3801
iNaturalist,0,MA_Dedham_C4_C_3801
ebird,477,MA_Dedham_C5_C_3802
iNaturalist,5,MA_Dedham_C5_C_3802
other,0,MA_Dedham_C5_C_3802
ebird,2721,MA_Dedham_D1_D_3803
other,3,MA_Dedham_D1_D_3803
iNaturalist,0,MA_Dedham_D1_D_3803
ebird,269,MA_Dedham_D2_D_3804
iNaturalist,54,MA_Dedham_D2_D_3804
other,8,MA_Dedham_D2_D_3804
ebird,89,MA_Everett_C1_C_3805
iNaturalist,3,MA_Everett_C1_C_3805
other,4,MA_Everett_C1_C_3805
ebird,27,MA_Everett_D1_D_3806
iNaturalist,2,MA_Everett_D1_D_3806
other,0,MA_Everett_D1_D_3806
other,0,MA_Everett_D2_D_3807
iNaturalist,0,MA_Everett_D2_D_3807
ebird,0,MA_Everett_D2_D_3807
ebird,54,MA_Everett_D3_D_3808
iNaturalist,7,MA_Everett_D3_D_3808
other,5,MA_Everett_D3_D_3808
ebird,98,MA_Haverhill_A1_A_3809
iNaturalist,2,MA_Haverhill_A1_A_3809
other,1,MA_Haverhill_A1_A_3809
ebird,22,MA_Haverhill_B2_B_3812
iNaturalist,1,MA_Haverhill_B2_B_3812
other,0,MA_Haverhill_B2_B_3812
ebird,1,MA_Haverhill_B3_B_3813
iNaturalist,3,MA_Haverhill_B3_B_3813
other,0,MA_Haverhill_B3_B_3813
ebird,342,MA_Haverhill_B4_B_3814
other,102,MA_Haverhill_B4_B_3814
iNaturalist,0,MA_Haverhill_B4_B_3814
ebird,10,MA_Haverhill_B5_B_3815
other,0,MA_Haverhill_B5_B_3815
iNaturalist,0,MA_Haverhill_B5_B_3815
ebird,2174,MA_Haverhill_C1_C_3816
other,0,MA_Haverhill_C1_C_3816
iNaturalist,0,MA_Haverhill_C1_C_3816
ebird,3,MA_Haverhill_C10_C_3817
other,0,MA_Haverhill_C10_C_3817
iNaturalist,0,MA_Haverhill_C10_C_3817
ebird,204,MA_Haverhill_C2_C_3818
other,0,MA_Haverhill_C2_C_3818
iNaturalist,0,MA_Haverhill_C2_C_3818
ebird,71,MA_Haverhill_C3_C_3819
other,17,MA_Haverhill_C3_C_3819
iNaturalist,0,MA_Haverhill_C3_C_3819
ebird,217,MA_Haverhill_C4_C_3820
iNaturalist,5,MA_Haverhill_C4_C_3820
other,1,MA_Haverhill_C4_C_3820
ebird,106,MA_Haverhill_C5_C_3821
other,0,MA_Haverhill_C5_C_3821
iNaturalist,0,MA_Haverhill_C5_C_3821
ebird,10,MA_Haverhill_C6_C_3822
other,0,MA_Haverhill_C6_C_3822
iNaturalist,0,MA_Haverhill_C6_C_3822
ebird,733,MA_Haverhill_C7_C_3823
other,0,MA_Haverhill_C7_C_3823
iNaturalist,0,MA_Haverhill_C7_C_3823
ebird,53,MA_Haverhill_C8_C_3824
other,0,MA_Haverhill_C8_C_3824
iNaturalist,0,MA_Haverhill_C8_C_3824
ebird,1578,MA_Haverhill_C8_C_3825
iNaturalist,1,MA_Haverhill_C8_C_3825
other,1343,MA_Haverhill_C8_C_3825
ebird,451,MA_Haverhill_C9_C_3826
iNaturalist,5,MA_Haverhill_C9_C_3826
other,2,MA_Haverhill_C9_C_3826
ebird,629,MA_Haverhill_C9_C_3827
iNaturalist,6,MA_Haverhill_C9_C_3827
other,33,MA_Haverhill_C9_C_3827
ebird,17,MA_Haverhill_D1_D_3828
other,0,MA_Haverhill_D1_D_3828
iNaturalist,0,MA_Haverhill_D1_D_3828
other,0,MA_Haverhill_D2_D_3829
iNaturalist,0,MA_Haverhill_D2_D_3829
ebird,0,MA_Haverhill_D2_D_3829
ebird,100,MA_Haverhill_D3_D_3830
other,1,MA_Haverhill_D3_D_3830
iNaturalist,0,MA_Haverhill_D3_D_3830
ebird,23,MA_Haverhill_D4_D_3831
other,0,MA_Haverhill_D4_D_3831
iNaturalist,0,MA_Haverhill_D4_D_3831
ebird,42,MA_Haverhill_D7_D_3834
other,14,MA_Haverhill_D7_D_3834
iNaturalist,0,MA_Haverhill_D7_D_3834
ebird,21,MA_Holyoke Chicopee_A1_A_3836
other,2,MA_Holyoke Chicopee_A1_A_3836
iNaturalist,0,MA_Holyoke Chicopee_A1_A_3836
ebird,47,MA_Holyoke Chicopee_B1_B_3838
other,0,MA_Holyoke Chicopee_B1_B_3838
iNaturalist,0,MA_Holyoke Chicopee_B1_B_3838
ebird,558,MA_Holyoke Chicopee_B2_B_3839
other,1,MA_Holyoke Chicopee_B2_B_3839
iNaturalist,0,MA_Holyoke Chicopee_B2_B_3839
ebird,801,MA_Holyoke Chicopee_B3_B_3840
iNaturalist,1,MA_Holyoke Chicopee_B3_B_3840
other,2,MA_Holyoke Chicopee_B3_B_3840
ebird,8,MA_Holyoke Chicopee_B4_B_3841
other,0,MA_Holyoke Chicopee_B4_B_3841
iNaturalist,0,MA_Holyoke Chicopee_B4_B_3841
ebird,76,MA_Holyoke Chicopee_B5_B_3842
other,0,MA_Holyoke Chicopee_B5_B_3842
iNaturalist,0,MA_Holyoke Chicopee_B5_B_3842
ebird,25,MA_Holyoke Chicopee_B6_B_3843
other,5,MA_Holyoke Chicopee_B6_B_3843
iNaturalist,0,MA_Holyoke Chicopee_B6_B_3843
ebird,2,MA_Holyoke Chicopee_B7_B_3844
other,0,MA_Holyoke Chicopee_B7_B_3844
iNaturalist,0,MA_Holyoke Chicopee_B7_B_3844
ebird,9,MA_Holyoke Chicopee_C1_C_3845
other,0,MA_Holyoke Chicopee_C1_C_3845
iNaturalist,0,MA_Holyoke Chicopee_C1_C_3845
ebird,51,MA_Holyoke Chicopee_C10_C_3846
other,0,MA_Holyoke Chicopee_C10_C_3846
iNaturalist,0,MA_Holyoke Chicopee_C10_C_3846
ebird,6,MA_Holyoke Chicopee_C2_C_3847
other,0,MA_Holyoke Chicopee_C2_C_3847
iNaturalist,0,MA_Holyoke Chicopee_C2_C_3847
ebird,8,MA_Holyoke Chicopee_C3_C_3848
other,1,MA_Holyoke Chicopee_C3_C_3848
iNaturalist,0,MA_Holyoke Chicopee_C3_C_3848
iNaturalist,1,MA_Holyoke Chicopee_C4_C_3849
other,0,MA_Holyoke Chicopee_C4_C_3849
ebird,0,MA_Holyoke Chicopee_C4_C_3849
ebird,3,MA_Holyoke Chicopee_C5_C_3850
iNaturalist,1,MA_Holyoke Chicopee_C5_C_3850
other,0,MA_Holyoke Chicopee_C5_C_3850
ebird,3,MA_Holyoke Chicopee_C6_C_3851
other,0,MA_Holyoke Chicopee_C6_C_3851
iNaturalist,0,MA_Holyoke Chicopee_C6_C_3851
ebird,454,MA_Holyoke Chicopee_C7_C_3852
iNaturalist,7,MA_Holyoke Chicopee_C7_C_3852
other,0,MA_Holyoke Chicopee_C7_C_3852
ebird,574,MA_Holyoke Chicopee_C8_C_3853
iNaturalist,2,MA_Holyoke Chicopee_C8_C_3853
other,0,MA_Holyoke Chicopee_C8_C_3853
ebird,743,MA_Holyoke Chicopee_C9_C_3854
iNaturalist,4,MA_Holyoke Chicopee_C9_C_3854
other,17,MA_Holyoke Chicopee_C9_C_3854
other,0,MA_Holyoke Chicopee_D2_D_3856
iNaturalist,0,MA_Holyoke Chicopee_D2_D_3856
ebird,0,MA_Holyoke Chicopee_D2_D_3856
iNaturalist,1,MA_Holyoke Chicopee_D3_D_3857
other,0,MA_Holyoke Chicopee_D3_D_3857
ebird,0,MA_Holyoke Chicopee_D3_D_3857
ebird,1281,MA_Holyoke Chicopee_D4_D_3858
iNaturalist,2,MA_Holyoke Chicopee_D4_D_3858
other,29,MA_Holyoke Chicopee_D4_D_3858
ebird,9,MA_Holyoke Chicopee_D5_D_3859
other,0,MA_Holyoke Chicopee_D5_D_3859
iNaturalist,0,MA_Holyoke Chicopee_D5_D_3859
other,0,MA_Holyoke Chicopee_D7_D_3861
iNaturalist,0,MA_Holyoke Chicopee_D7_D_3861
ebird,0,MA_Holyoke Chicopee_D7_D_3861
ebird,131,MA_Lexington_A1_A_3862
iNaturalist,2,MA_Lexington_A1_A_3862
other,1,MA_Lexington_A1_A_3862
ebird,47,MA_Lexington_A2_A_3863
other,12,MA_Lexington_A2_A_3863
iNaturalist,0,MA_Lexington_A2_A_3863
ebird,11,MA_Lexington_A3_A_3864
iNaturalist,3,MA_Lexington_A3_A_3864
other,0,MA_Lexington_A3_A_3864
ebird,109,MA_Lexington_A4_A_3865
iNaturalist,1,MA_Lexington_A4_A_3865
other,11,MA_Lexington_A4_A_3865
ebird,255,MA_Lexington_B1_B_3866
iNaturalist,1,MA_Lexington_B1_B_3866
other,1,MA_Lexington_B1_B_3866
ebird,47,MA_Lexington_B2_B_3867
iNaturalist,1,MA_Lexington_B2_B_3867
other,0,MA_Lexington_B2_B_3867
ebird,31,MA_Lexington_B3_B_3868
iNaturalist,1,MA_Lexington_B3_B_3868
other,14,MA_Lexington_B3_B_3868
ebird,1678,MA_Lexington_B4_B_3869
iNaturalist,5,MA_Lexington_B4_B_3869
other,0,MA_Lexington_B4_B_3869
ebird,520,MA_Lexington_C1_C_3870
iNaturalist,11,MA_Lexington_C1_C_3870
other,34,MA_Lexington_C1_C_3870
ebird,125,MA_Lexington_C2_C_3871
iNaturalist,23,MA_Lexington_C2_C_3871
other,0,MA_Lexington_C2_C_3871
ebird,538,MA_Lexington_C3_C_3872
other,1,MA_Lexington_C3_C_3872
iNaturalist,0,MA_Lexington_C3_C_3872
ebird,184,MA_Lexington_C3_C_3873
iNaturalist,3,MA_Lexington_C3_C_3873
other,0,MA_Lexington_C3_C_3873
ebird,78,MA_Lexington_C4_C_3874
iNaturalist,1,MA_Lexington_C4_C_3874
other,23,MA_Lexington_C4_C_3874
ebird,71,MA_Lexington_C5_C_3875
other,0,MA_Lexington_C5_C_3875
iNaturalist,0,MA_Lexington_C5_C_3875
ebird,9,MA_Malden_B1_B_3876
other,29,MA_Malden_B1_B_3876
iNaturalist,0,MA_Malden_B1_B_3876
ebird,1701,MA_Malden_C1_C_3877
iNaturalist,30,MA_Malden_C1_C_3877
other,36,MA_Malden_C1_C_3877
ebird,3208,MA_Malden_C2_C_3878
iNaturalist,3,MA_Malden_C2_C_3878
other,8,MA_Malden_C2_C_3878
ebird,18,MA_Malden_C3_C_3879
other,0,MA_Malden_C3_C_3879
iNaturalist,0,MA_Malden_C3_C_3879
ebird,3,MA_Malden_D1_D_3880
iNaturalist,8,MA_Malden_D1_D_3880
other,1,MA_Malden_D1_D_3880
ebird,579,MA_Malden_D2_D_3881
iNaturalist,28,MA_Malden_D2_D_3881
other,273,MA_Malden_D2_D_3881
ebird,1,MA_Medford_A1_A_3882
iNaturalist,1,MA_Medford_A1_A_3882
other,0,MA_Medford_A1_A_3882
ebird,196,MA_Medford_A2_A_3883
iNaturalist,8,MA_Medford_A2_A_3883
other,0,MA_Medford_A2_A_3883
ebird,21,MA_Medford_B1_B_3884
iNaturalist,4,MA_Medford_B1_B_3884
other,1,MA_Medford_B1_B_3884
ebird,1094,MA_Medford_B2_B_3885
iNaturalist,28,MA_Medford_B2_B_3885
other,0,MA_Medford_B2_B_3885
ebird,402,MA_Medford_B3_B_3886
iNaturalist,5,MA_Medford_B3_B_3886
other,1,MA_Medford_B3_B_3886
ebird,13,MA_Medford_C1_C_3887
iNaturalist,17,MA_Medford_C1_C_3887
other,0,MA_Medford_C1_C_3887
ebird,44,MA_Medford_C2_C_3888
iNaturalist,13,MA_Medford_C2_C_3888
other,0,MA_Medford_C2_C_3888
ebird,145,MA_Medford_C3_C_3889
iNaturalist,7,MA_Medford_C3_C_3889
other,1,MA_Medford_C3_C_3889
ebird,496,MA_Medford_C4_C_3890
iNaturalist,20,MA_Medford_C4_C_3890
other,7,MA_Medford_C4_C_3890
ebird,16,MA_Medford_C5_C_3891
iNaturalist,7,MA_Medford_C5_C_3891
other,0,MA_Medford_C5_C_3891
iNaturalist,1,MA_Medford_C6_C_3892
other,0,MA_Medford_C6_C_3892
ebird,0,MA_Medford_C6_C_3892
ebird,564,MA_Melrose_A1_A_3893
iNaturalist,2,MA_Melrose_A1_A_3893
other,0,MA_Melrose_A1_A_3893
ebird,17,MA_Melrose_A2_A_3894
iNaturalist,2,MA_Melrose_A2_A_3894
other,0,MA_Melrose_A2_A_3894
other,0,MA_Melrose_A3_A_3895
iNaturalist,0,MA_Melrose_A3_A_3895
ebird,0,MA_Melrose_A3_A_3895
ebird,85,MA_Melrose_B1_B_3896
other,9,MA_Melrose_B1_B_3896
iNaturalist,0,MA_Melrose_B1_B_3896
ebird,280,MA_Melrose_B2_B_3897
iNaturalist,1,MA_Melrose_B2_B_3897
other,3,MA_Melrose_B2_B_3897
ebird,214,MA_Melrose_B3_B_3898
other,0,MA_Melrose_B3_B_3898
iNaturalist,0,MA_Melrose_B3_B_3898
ebird,39,MA_Melrose_B4_B_3899
other,0,MA_Melrose_B4_B_3899
iNaturalist,0,MA_Melrose_B4_B_3899
ebird,18152,MA_Melrose_C1_C_3900
iNaturalist,73,MA_Melrose_C1_C_3900
other,3627,MA_Melrose_C1_C_3900
ebird,4616,MA_Milton_A1_A_3901
iNaturalist,26,MA_Milton_A1_A_3901
other,168,MA_Milton_A1_A_3901
ebird,807,MA_Milton_A2_A_3902
iNaturalist,12,MA_Milton_A2_A_3902
other,79,MA_Milton_A2_A_3902
ebird,667,MA_Milton_B1_B_3903
iNaturalist,7,MA_Milton_B1_B_3903
other,3,MA_Milton_B1_B_3903
ebird,10,MA_Milton_B2_B_3904
iNaturalist,5,MA_Milton_B2_B_3904
other,0,MA_Milton_B2_B_3904
ebird,917,MA_Milton_B3_B_3905
iNaturalist,4,MA_Milton_B3_B_3905
other,24,MA_Milton_B3_B_3905
ebird,4585,MA_Milton_C1_C_3906
iNaturalist,4,MA_Milton_C1_C_3906
other,13,MA_Milton_C1_C_3906
ebird,295,MA_Milton_C2_C_3907
other,3,MA_Milton_C2_C_3907
iNaturalist,0,MA_Milton_C2_C_3907
ebird,285,MA_Needham_B1_B_3908
iNaturalist,5,MA_Needham_B1_B_3908
other,7,MA_Needham_B1_B_3908
ebird,496,MA_Needham_B2_B_3909
iNaturalist,2,MA_Needham_B2_B_3909
other,94,MA_Needham_B2_B_3909
ebird,2,MA_Needham_B3_B_3910
other,0,MA_Needham_B3_B_3910
iNaturalist,0,MA_Needham_B3_B_3910
other,0,MA_Needham_B4_B_3911
iNaturalist,0,MA_Needham_B4_B_3911
ebird,0,MA_Needham_B4_B_3911
ebird,450,MA_Needham_C1_C_3912
iNaturalist,10,MA_Needham_C1_C_3912
other,194,MA_Needham_C1_C_3912
ebird,432,MA_Needham_D1_D_3913
iNaturalist,1,MA_Needham_D1_D_3913
other,5,MA_Needham_D1_D_3913
ebird,3385,MA_Newton_A1_A_3914
iNaturalist,7,MA_Newton_A1_A_3914
other,1536,MA_Newton_A1_A_3914
ebird,270,MA_Newton_A2_A_3915
iNaturalist,38,MA_Newton_A2_A_3915
other,1,MA_Newton_A2_A_3915
ebird,350,MA_Newton_A3_A_3916
other,73,MA_Newton_A3_A_3916
iNaturalist,0,MA_Newton_A3_A_3916
ebird,100,MA_Newton_B1_B_3917
iNaturalist,1,MA_Newton_B1_B_3917
other,0,MA_Newton_B1_B_3917
ebird,148,MA_Newton_B2_B_3918
iNaturalist,15,MA_Newton_B2_B_3918
other,3,MA_Newton_B2_B_3918
ebird,2084,MA_Newton_B3_B_3919
iNaturalist,10,MA_Newton_B3_B_3919
other,28,MA_Newton_B3_B_3919
ebird,23388,MA_Newton_B4_B_3920
iNaturalist,192,MA_Newton_B4_B_3920
other,457,MA_Newton_B4_B_3920
ebird,28,MA_Newton_B5_B_3921
